id,joke,rating,rating_category
1,You ever crack an egg and it cracks you up first? Same. Those yolks slap.,8,bad
2,I used to play piano by ear—neighbors begged me to try hands. Big improvement.,5,bad
3,"My scarecrow buddy just won an award. Honestly, he’s outstanding in his field.",9,bad
4,"Got a construction joke brewing, but uh… still under renovation. Hard hats on.",6,bad
5,"Seen skeletons throw hands? Exactly. No guts, no glory.",8,bad
6,I know 25 letters of the alphabet. That missing ‘y’ keeps me up at night.,6,bad
7,"Math book walked in looking stressed—too many problems, not enough solutions.",7,bad
8,"Picked up a book on anti‑gravity. Can’t put it down. Like, physically.",9,bad
9,My bike tipped over. Doctor says it’s two‑tired. I say it needs a vacation.,5,bad
10,Kicked my soap habit. Clean now. Friends say I’m a little too squeaky.,7,bad
11,"If your nose was 12 inches long, that’s a foot. Congrats? Condolences?",6,bad
12,"I don’t trust stairs. One minute you’re up, next you’re down—they’re plotting.",4,bad
13,"Ordered spaghetti, got fake noodles. Chef said it’s an impasta. I left a saucy review.",9,bad
14,Golfer packed two pairs of pants—just in case he nailed a hole‑in‑one. Respect the prep.,8,bad
15,Penguin home improvement tip: they just igloo it together. No contractor needed.,7,bad
16,"Tomato saw the salad dressing and turned red. I’d blush too, honestly.",4,bad
17,That cheese? Not yours. Nacho cheese. Them’s the dairy rules.,8,bad
18,Professor went off on a tangent. Class circled back an hour later.,5,bad
19,"Asked an oyster to share—nope. Shellfish behavior, classic.",6,bad
20,"Factory makes okay stuff. Not great, not bad. A real satisfactory.",7,bad
